Week,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Season,Result,HomeTeam_value,AwayTeam_value,Divisao,HomeTeam_value_norm1,AwayTeam_value_norm1,HomeTeam_value_norm2,AwayTeam_value_norm2
1.0,29/3/2003,Guarani,Vasco,4,2,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
1.0,29/3/2003,Athletico-PR,Gremio,2,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
1.0,30/3/2003,Flamengo,Coritiba,1,1,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
1.0,30/3/2003,Goias,Paysandu,2,2,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
1.0,30/3/2003,Internacional,Ponte Preta,1,1,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
1.0,30/3/2003,Criciuma,Fluminense,2,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
1.0,30/3/2003,Juventude,Sao Paulo,2,2,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
1.0,30/3/2003,Fortaleza,Bahia,0,0,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
1.0,30/3/2003,Cruzeiro,Sao Caetano,2,2,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
1.0,30/3/2003,Vitoria,Figueirense,1,1,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
1.0,30/3/2003,Santos,Parana,2,2,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
1.0,30/3/2003,Corinthians,Atletico-MG,0,3,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
2.0,5/4/2003,Fluminense,Fortaleza,1,1,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
2.0,5/4/2003,Atletico-MG,Santos,0,0,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
2.0,5/4/2003,Coritiba,Internacional,0,1,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
2.0,5/4/2003,Gremio,Guarani,3,1,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
2.0,6/4/2003,Bahia,Flamengo,1,2,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
2.0,6/4/2003,Figueirense,Corinthians,3,3,2003,D,0.0,0.0,1,0.0,0.0,0.0,0.0
2.0,6/4/2003,Paysandu,Vitoria,1,2,2003,L,0.0,0.0,1,0.0,0.0,0.0,0.0
2.0,6/4/2003,Ponte Preta,Juventude,1,0,2003,W,0.0,0.0,1,0.0,0.0,0.0,0.0
