Week,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Season,Result,HomeTeam_value,AwayTeam_value,Divisao,HomeTeam_value_norm1,AwayTeam_value_norm1,HomeTeam_value_norm2,AwayTeam_value_norm2
1.0,1999-08-21,Mallorca,Real Madrid,1,2,1999,A,0.0,0.0,1,0.0,0.0,0.0,0.0
1.0,1999-08-21,Athletic Club,Betis,1,0,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
1.0,1999-08-21,Valencia,Racing Sant,1,2,1999,A,0.0,0.0,1,0.0,0.0,0.0,0.0
1.0,1999-08-22,Málaga,Espanyol,1,0,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
1.0,1999-08-22,Sevilla,Real Sociedad,2,2,1999,D,0.0,0.0,1,0.0,0.0,0.0,0.0
1.0,1999-08-22,Atlético Madrid,Rayo Vallecano,0,2,1999,A,0.0,0.0,1,0.0,0.0,0.0,0.0
1.0,1999-08-22,Barcelona,Zaragoza,2,0,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
1.0,1999-08-22,La Coruña,Alavés,4,1,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
1.0,1999-08-22,Oviedo,Celta Vigo,1,0,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
1.0,1999-08-22,Numancia,Valladolid,1,0,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
2.0,1999-08-28,Real Sociedad,Atlético Madrid,4,1,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
2.0,1999-08-29,Betis,La Coruña,0,0,1999,D,0.0,0.0,1,0.0,0.0,0.0,0.0
2.0,1999-08-29,Zaragoza,Oviedo,4,0,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
2.0,1999-08-29,Espanyol,Valencia,3,2,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
2.0,1999-08-29,Racing Sant,Barcelona,1,2,1999,A,0.0,0.0,1,0.0,0.0,0.0,0.0
2.0,1999-08-29,Rayo Vallecano,Mallorca,2,1,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
2.0,1999-08-29,Real Madrid,Numancia,4,1,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
2.0,1999-08-29,Celta Vigo,Sevilla,2,1,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
2.0,1999-08-29,Valladolid,Athletic Club,1,0,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
2.0,1999-08-29,Alavés,Málaga,2,1,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
3.0,1999-09-11,Barcelona,Espanyol,3,0,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
3.0,1999-09-11,La Coruña,Valladolid,2,0,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
3.0,1999-09-11,Valencia,Alavés,0,2,1999,A,0.0,0.0,1,0.0,0.0,0.0,0.0
3.0,1999-09-12,Atlético Madrid,Celta Vigo,1,2,1999,A,0.0,0.0,1,0.0,0.0,0.0,0.0
3.0,1999-09-12,Athletic Club,Real Madrid,2,2,1999,D,0.0,0.0,1,0.0,0.0,0.0,0.0
3.0,1999-09-12,Mallorca,Numancia,3,0,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
3.0,1999-09-12,Málaga,Betis,3,0,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
3.0,1999-09-12,Oviedo,Racing Sant,1,2,1999,A,0.0,0.0,1,0.0,0.0,0.0,0.0
3.0,1999-09-12,Rayo Vallecano,Real Sociedad,2,1,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
3.0,1999-09-12,Sevilla,Zaragoza,0,0,1999,D,0.0,0.0,1,0.0,0.0,0.0,0.0
4.0,1999-09-18,Betis,Valencia,1,0,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
4.0,1999-09-18,Real Madrid,La Coruña,1,1,1999,D,0.0,0.0,1,0.0,0.0,0.0,0.0
4.0,1999-09-18,Espanyol,Oviedo,2,1,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
4.0,1999-09-18,Valladolid,Málaga,4,2,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
4.0,1999-09-18,Alavés,Barcelona,2,1,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
4.0,1999-09-19,Zaragoza,Atlético Madrid,1,1,1999,D,0.0,0.0,1,0.0,0.0,0.0,0.0
4.0,1999-09-19,Celta Vigo,Rayo Vallecano,0,1,1999,A,0.0,0.0,1,0.0,0.0,0.0,0.0
4.0,1999-09-19,Racing Sant,Sevilla,2,2,1999,D,0.0,0.0,1,0.0,0.0,0.0,0.0
4.0,1999-09-19,Real Sociedad,Mallorca,2,1,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
4.0,1999-09-19,Numancia,Athletic Club,1,1,1999,D,0.0,0.0,1,0.0,0.0,0.0,0.0
5.0,1999-09-25,Real Sociedad,Celta Vigo,0,2,1999,A,0.0,0.0,1,0.0,0.0,0.0,0.0
5.0,1999-09-25,Málaga,Real Madrid,1,1,1999,D,0.0,0.0,1,0.0,0.0,0.0,0.0
5.0,1999-09-25,Barcelona,Betis,4,1,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
5.0,1999-09-25,Valencia,Valladolid,0,0,1999,D,0.0,0.0,1,0.0,0.0,0.0,0.0
5.0,1999-09-26,La Coruña,Numancia,0,2,1999,A,0.0,0.0,1,0.0,0.0,0.0,0.0
5.0,1999-09-26,Oviedo,Alavés,1,0,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
5.0,1999-09-26,Atlético Madrid,Racing Sant,2,0,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
5.0,1999-09-26,Mallorca,Athletic Club,2,1,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
5.0,1999-09-26,Sevilla,Espanyol,1,2,1999,A,0.0,0.0,1,0.0,0.0,0.0,0.0
5.0,1999-09-26,Rayo Vallecano,Zaragoza,0,1,1999,A,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,1999-10-02,Numancia,Málaga,1,1,1999,D,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,1999-10-02,Valladolid,Barcelona,0,2,1999,A,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,1999-10-03,Alavés,Sevilla,0,0,1999,D,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,1999-10-03,Racing Sant,Rayo Vallecano,1,1,1999,D,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,1999-10-03,Real Madrid,Valencia,2,3,1999,A,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,1999-10-03,Zaragoza,Real Sociedad,2,0,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,1999-10-03,Espanyol,Atlético Madrid,3,1,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,1999-10-03,Betis,Oviedo,1,0,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,1999-10-03,Athletic Club,La Coruña,2,3,1999,A,0.0,0.0,1,0.0,0.0,0.0,0.0
6.0,1999-10-03,Celta Vigo,Mallorca,1,0,1999,H,0.0,0.0,1,0.0,0.0,0.0,0.0
7.0,1999-10-12,Málaga,Athletic Club,3,4,1999,A,0.0,0.0,1,0.0,0.0,0.0,0.0
